,strat_id,instrument,open_time,open_price,close_time,close_price,dir,size,PnL,account_balance(t)
IFVZF2,2,C:USDJPY,2024-06-06 15:40:00+00:00,155.9721006,2024-06-07 14:05:00+00:00,157,-1,1,-1.0278993999999955,95.36770175000012
EWMXBA,2,C:USDJPY,2024-06-06 16:25:00+00:00,155.9121021,2024-06-07 14:05:00+00:00,157,-1,1,-1.0878979000000015,94.27980385000012
YGH3J0,2,C:USDJPY,2024-06-05 07:40:00+00:00,156.14590354999999,2024-06-07 14:10:00+00:00,157,1,1,0.8540964500000143,95.13390030000014
B1MFXM,2,C:USDJPY,2024-06-05 10:05:00+00:00,156.058901375,2024-06-07 14:10:00+00:00,157,1,1,0.9410986249999951,96.07499892500013
ARVZUT,2,C:USDJPY,2024-06-05 14:00:00+00:00,156.22590555,2024-06-07 14:10:00+00:00,157,1,1,0.7740944500000069,96.84909337500014
XXH9XP,2,C:USDJPY,2024-06-06 06:15:00+00:00,156.038900875,2024-06-07 14:10:00+00:00,157,1,1,0.961099125000004,97.81019250000014
RJAZNB,2,C:USDJPY,2024-06-06 10:30:00+00:00,156.068901625,2024-06-07 14:10:00+00:00,157,1,1,0.9310983750000048,98.74129087500015
PJIXZS,2,C:USDJPY,2024-06-06 13:45:00+00:00,156.052901225,2024-06-07 14:10:00+00:00,157,1,1,0.9470987750000006,99.68838965000015
ESS7A8,2,C:USDJPY,2024-06-06 15:10:00+00:00,156.0239005,2024-06-07 14:10:00+00:00,157,1,1,0.9760995000000037,100.66448915000015
WPJEIA,2,C:USDJPY,2024-06-06 16:00:00+00:00,156.044901025,2024-06-07 14:10:00+00:00,157,1,1,0.9550989749999985,101.61958812500015
WYZRRR,2,C:USDJPY,2024-06-07 12:30:00+00:00,156.54391349999997,2024-06-07 14:10:00+00:00,157,1,1,0.45608650000002626,102.07567462500018
P1T64Q,2,C:USDJPY,2024-06-07 14:10:00+00:00,157.070926675,2024-06-12 13:00:00+00:00,156,1,1,-1.0709266750000097,101.00474795000017
TGJYRL,2,C:USDJPY,2024-06-10 03:05:00+00:00,157.01092517499998,2024-06-12 13:00:00+00:00,156,1,1,-1.0109251749999828,99.99382277500018
Y93MPK,2,C:USDJPY,2024-06-10 07:10:00+00:00,157.03392574999998,2024-06-12 13:00:00+00:00,156,1,1,-1.0339257499999803,98.9598970250002
HVSG7O,2,C:USDJPY,2024-06-10 07:45:00+00:00,157.01992539999998,2024-06-12 13:00:00+00:00,156,1,1,-1.019925399999977,97.93997162500023
OZWRPL,2,C:USDJPY,2024-06-10 08:30:00+00:00,157.02192545,2024-06-12 13:00:00+00:00,156,1,1,-1.0219254499999977,96.91804617500023
TEVZHY,2,C:USDJPY,2024-06-10 17:00:00+00:00,157.04892612499998,2024-06-12 13:00:00+00:00,156,1,1,-1.04892612499998,95.86912005000025
P8G7OX,2,C:USDJPY,2024-06-10 18:00:00+00:00,157.008925125,2024-06-12 13:00:00+00:00,156,1,1,-1.0089251249999904,94.86019492500026
01HOKF,2,C:USDJPY,2024-06-10 18:35:00+00:00,157.0159253,2024-06-12 13:00:00+00:00,156,1,1,-1.0159252999999921,93.84426962500027
GEVSS5,2,C:USDJPY,2024-06-10 22:40:00+00:00,157.0359258,2024-06-12 13:00:00+00:00,156,1,1,-1.0359258000000011,92.80834382500026
I9VZBG,2,C:USDJPY,2024-06-11 12:10:00+00:00,157.04892612499998,2024-06-12 13:00:00+00:00,156,1,1,-1.04892612499998,91.75941770000028
RB8ERU,2,C:USDJPY,2024-06-11 13:15:00+00:00,157.03792585,2024-06-12 13:00:00+00:00,156,1,1,-1.0379258499999935,90.72149185000029
SSEY6K,2,C:USDJPY,2024-06-11 19:35:00+00:00,157.0159253,2024-06-12 13:00:00+00:00,156,1,1,-1.0159252999999921,89.7055665500003
JLAX7B,2,C:USDJPY,2024-06-07 14:15:00+00:00,156.8560785,2024-06-12 13:05:00+00:00,156,-1,1,0.8560784999999953,90.5616450500003
